industry_code	naics_code	industry_text	display_level	selectable	sort_sequence
N33221_	33221	Cutlery and handtool manufacturing	4	T	124	
N3322__	3322	Cutlery and handtool manufacturing	3	T	123	
N332312	332312	Fabricated structural metals	5	T	127	
N33231_	33231	Plate work and fabricated structural product manufacturing	4	T	126	
N332321	332321	Metal windows and doors	5	T	129	
N332322	332322	Sheet metal work	5	T	130	
N332323	332323	Ornamental and architectural metal work	5	T	131	
N33232_	33232	Ornamental and architectural metal products manufacturing	4	T	128	
N3323__	3323	Architectural and structural metals manufacturing	3	T	125	
N3324__	3324	Boiler, tank, and shipping container manufacturing	3	T	132	
N332510	332510	Hardware manufacturing	5	T	135	
N33251_	33251	Hardware manufacturing	4	T	134	
N3325__	3325	Hardware manufacturing	3	T	133	
N33261_	33261	Spring and wire product manufacturing	4	T	137	
N3326__	3326	Spring and wire product manufacturing	3	T	136	
N332710	332710	Machine shops	5	T	140	
N33271_	33271	Machine shops	4	T	139	
N33272_	33272	Turned product and screw, nut, and bolt manufacturing	4	T	141	
N3327__	3327	Machine shops; turned product; and screw, nut, and bolt manufacturing	3	T	138	
N332813	332813	Electroplating, plating, polishing, anodizing and coloring	5	T	144	
N33281_	33281	Coating, engraving, heat treating, and allied activities	4	T	143	
N3328__	3328	Coating, engraving, heat treating, and allied activities	3	T	142	
N33291_	33291	Metal valve manufacturing	4	T	146	
N33299_	33299	All other fabricated metal product manufacturing	4	T	147	
N3329__	3329	Other fabricated metal product manufacturing	3	T	145	
N332___	332	Fabricated metal product manufacturing	2	T	120	
N333111	333111	Farm machinery and equipment manufacturing	5	T	150	
N3331__	3331	Agriculture, construction, and mining machinery	3	T	149	
N3332__	3332	Industrial machinery manufacturing	3	T	151	
N33331_	33331	Commercial and service industry machinery	4	T	153	
N3333__	3333	Commercial and service industry machinery manufacturing	3	T	152	
N33341_	33341	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	4	T	155	
N3334__	3334	Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing	3	T	154	
N333514	333514	Special die and tool, die set, jig, and fixture manufacturing	5	T	158	
N333517	333517	Machine tool manufacturing	5	T	159	
N33351_	33351	Metalworking machinery manufacturing	4	T	157	
N3335__	3335	Metalworking machinery manufacturing	3	T	156	
N33361_	33361	Engine, turbine, and power transmission equipment manufacturing	4	T	161	
N3336__	3336	Engine, turbine, and power transmission equipment manufacturing	3	T	160	
N33391_	33391	Pump and compressor manufacturing	4	T	163	
N33392_	33392	Material handling equipment manufacturing	4	T	164	
N33399_	33399	All other general purpose machinery manufacturing	4	T	165	
N3339__	3339	Other general purpose machinery manufacturing	3	T	162	
N333___	333	Machinery manufacturing	2	T	148	
N33411_	33411	Computer and peripheral equipment manufacturing	4	T	168	
N3341__	3341	Computer and peripheral equipment manufacturing	3	T	167	
N334220	334220	Radio and television broadcasting and wireless communications equipment manufacturing	5	T	171	
N33422_	33422	Radio and television broadcasting and wireless communications equipment manufacturing	4	T	170	
N3342__	3342	Communications equipment manufacturing	3	T	169	
N334310	334310	Audio and video equipment manufacturing	5	T	174	
N33431_	33431	Audio and video equipment manufacturing	4	T	173	
N3343__	3343	Audio and video equipment manufacturing	3	T	172	
N334413	334413	Semiconductor and related device manufacturing	5	T	177	
N33441_	33441	Semiconductor and other electronic component manufacturing	4	T	176	
N3344__	3344	Semiconductor and other electronic component manufacturing	3	T	175	
N334513	334513	Industrial process variable instruments	5	T	180	
N33451_	33451	Navigational, measuring, electromedical, and control instruments manufacturing	4	T	179	
N3345__	3345	Navigational, measuring, electromedical, and control instruments manufacturing	3	T	178	
N33461_	33461	Manufacturing and reproducing magnetic and optical media	4	T	182	
N3346__	3346	Manufacturing and reproducing magnetic and optical media	3	T	181	
N334___	334	Computer and electronic product manufacturing	2	T	166	
N3351__	3351	Electric lighting equipment manufacturing	3	T	184	
N3352__	3352	Household appliance manufacturing	3	T	185	
N33531_	33531	Electrical equipment manufacturing	4	T	187	
N3353__	3353	Electrical equipment manufacturing	3	T	186	
N3359__	3359	Other electrical equipment and component manufacturing	3	T	188	
N335___	335	Electrical equipment, appliance, and component manufacturing	2	T	183	
N336111	336111	Automobile manufacturing	5	T	192	
N336112	336112	Light truck and utility vehicle manufacturing	5	T	193	
N33611_	33611	Automobile and light duty motor vehicle manufacturing	4	T	191	
N336120	336120	Heavy duty truck manufacturing	5	T	195	
N33612_	33612	Heavy duty truck manufacturing	4	T	194	
N3361__	3361	Motor vehicle manufacturing	3	T	190	
N336211	336211	Motor vehicle body manufacturing	5	T	198	
N33621_	33621	Motor vehicle body and trailer manufacturing	4	T	197	
N3362__	3362	Motor vehicle body and trailer manufacturing	3	T	196	
N33631_	33631	Motor vehicle gasoline engine and engine parts manufacturing	4	T	200	
N33632_	33632	Motor vehicle electrical and electronic equipment manufacturing	4	T	201	
N336350	336350	Motor vehicle transmission and power train parts manufacturing	5	T	203	
N33635_	33635	Motor vehicle transmission and power train parts manufacturing	4	T	202	
N336370	336370	Motor vehicle metal stamping	5	T	205	
N33637_	33637	Motor vehicle metal stamping	4	T	204	
N33639_	33639	Other motor vehicle parts manufacturing	4	T	206	
N3363__	3363	Motor vehicle parts manufacturing	3	T	199	
N336411	336411	Aircraft manufacturing	5	T	209	
N33641_	33641	Aerospace product and parts manufacturing	4	T	208	
N3364__	3364	Aerospace product and parts manufacturing	3	T	207	
N336510	336510	Railroad rolling stock manufacturing	5	T	212	
N33651_	33651	Railroad rolling stock manufacturing	4	T	211	
N3365__	3365	Railroad rolling stock manufacturing	3	T	210	
N33661_	33661	Ship and boat building	4	T	214	
N3366__	3366	Ship and boat building	3	T	213	
N33699_	33699	Other transportation equipment manufacturing	4	T	216	
N3369__	3369	Other transportation equipment manufacturing	3	T	215	
N336___	336	Transportation equipment manufacturing	2	T	189	
N337110	337110	Wood kitchen cabinet and countertop manufacturing	5	T	220	
N33711_	33711	Wood kitchen cabinet and countertop manufacturing	4	T	219	
N337121	337121	Upholstered household furniture manufacturing	5	T	222	
N337122	337122	Nonupholstered wood household furniture manufacturing	5	T	223	
N33712_	33712	Household and institutional furniture manufacturing	4	T	221	
N3371__	3371	Household and institutional furniture and kitchen cabinet manufacturing	3	T	218	
N337215	337215	Showcase, partition, shelving, and locker manufacturing	5	T	226	
N33721_	33721	Office furniture (including fixtures) manufacturing	4	T	225	
N3372__	3372	Office furniture (including fixtures) manufacturing	3	T	224	
N3379__	3379	Other furniture related product manufacturing	3	T	227	
N337___	337	Furniture and related product manufacturing	2	T	217	
N339113	339113	Surgical appliance and supplies manufacturing	5	T	231	
N339116	339116	Dental laboratories	5	T	232	
N33911_	33911	Medical equipment and supplies manufacturing	4	T	230	
N3391__	3391	Medical equipment and supplies manufacturing	3	T	229	
N339950	339950	Sign manufacturing	5	T	235	
N33995_	33995	Sign manufacturing	4	T	234	
N3399__	3399	Other miscellaneous manufacturing	3	T	233	
N339___	339	Miscellaneous manufacturing	2	T	228	
N4231__	4231	Motor vehicle and motor vehicle parts and supplies merchant wholesalers	3	T	239	
N4232__	4232	Furniture and home furnishing merchant wholesalers	3	T	240	
N4233__	4233	Lumber and other construction materials merchant wholesalers	3	T	241	
N4234__	4234	Professional and commercial equipment and supplies merchant wholesalers	3	T	242	
N4235__	4235	Metal and mineral (except petroleum) merchant wholesalers	3	T	243	
N4236__	4236	Electrical and electronic goods merchant wholesalers	3	T	244	
N4237__	4237	Hardware, and plumbing and heating equipment and supplies merchant wholesalers	3	T	245	
